ISTASYON,PROJE_ADI,PROJE_ASAMA,HAT_TURU,MUDURLUK,display_name
Kazlıçeşme,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Kazlıçeşme Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34020, Türkiye"
Altınşehir,M5 Üsküdar - Çekmeköy Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Cemil Meriç Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Yenikapı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Aksaray Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34096, Türkiye"
Altunizade,M5 Üsküdar - Çekmeköy Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Küçük Çamlıca Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34694, Türkiye"
Ihlamurkuyu,M5 Üsküdar - Çekmeköy Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Ihlamurkuyu Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Çekmeköy,M5 Üsküdar - Çekmeköy Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Mehmet Akif Mahallesi, Çekmeköy, İstanbul, Marmara Bölgesi, Türkiye"
Göztepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Göztepe Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
Tuzla,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"İstasyon Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İDO,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
Hastane - Adliye,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Cevizli Mahallesi, İstanbul, Marmara Bölgesi, 34865, Türkiye"
Osmanbey,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Halaskargazi Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34371, Türkiye"
Topkapı - Ulubatlı,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Karagümrük Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
