ISTASYON,PROJE_ADI,PROJE_ASAMA,HAT_TURU,MUDURLUK,display_name
Mehmet Akif,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Bahçelievler Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34180, Türkiye"
Soğanlık,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Soğanlık Yeni Mahalle, Kartal, İstanbul, Marmara Bölgesi, Türkiye"
Aksaray,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"İskenderpaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34120, Türkiye"
Olimpiyat,M9 Bahariye - Olimpiyat Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, Türkiye"
Sağmalcılar-Pancar Motor,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Merkez Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
Karadeniz,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Karadeniz Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
Bakırköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Zeytinlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34140, Türkiye"
Erenköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Erenköy Mahallesi, İstanbul, Marmara Bölgesi, 34738, Türkiye"
Pendik,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Çınardere Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34896, Türkiye"
Yakacık - Adnan Kahveci,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Cumhuriyet Mahallesi, Kartal, İstanbul, Marmara Bölgesi, 34876, Türkiye"
Güzelyalı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye"
Çarşı,M5 Üsküdar - Çekmeköy Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Yamanevler Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
İdealtepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"İdealtepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Üsküdar,M5 Üsküdar - Çekmeköy Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Mimar Sinan Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
Göztepe Mah.,M7 Yıldız - Mahmutbey Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Fatih Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
Altıyol,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Osmanağa Mahallesi, İstanbul, Marmara Bölgesi, 34714, Türkiye"
Güngören,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Güven Mahallesi, Güngören, İstanbul, Marmara Bölgesi, 34160, Türkiye"
Üniversite,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Sakarya Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
Alibeyköy Merkez,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Alibeyköy Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
Alibeyköy Metro,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Alibeyköy Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
Alibeyköy Cep Otogarı,Eminönü - Eyüp - Alibeyköy Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Alibeyköy Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
Cibali,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Cibali Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Fetihkapı,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Maltepe Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34010, Türkiye"
Sanayi Mah.,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
Tophane,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Raylı Sistem Projeler Müdürlüğü,"Kılıçali Paşa Mahallesi, İstanbul, Marmara Bölgesi, 34427, Türkiye"
Kirazlı,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Kirazlı Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Gülhane,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Hocapaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Siteler,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Organize Sanayi Bölgesi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Bahariye,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
Levent,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Esentepe Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
Topkapı,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Merkezefendi Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye"
Merkezefendi,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Merkezefendi Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye"
Yavuz Selim Camii,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Güneştepe Mahallesi, Güngören, İstanbul, Marmara Bölgesi, Türkiye"
Yeşilyurt,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Yeşilköy Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
Tersane,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye"
Halkalı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"İstasyon Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Mahmutbey,M7 Yıldız - Mahmutbey Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Göztepe Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
Ünalan,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Ünalan Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34700, Türkiye"
Fener,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Yavuz Sultan Selim Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Yenimahalle,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Uğurmumcu Mahallesi, Cebeci Köyü, Sultangazi, İstanbul, Marmara Bölgesi, 34265, Türkiye"
Otogar,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Altıntepsi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Habibler,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Habipler Mahallesi, Cebeci Köyü, Sultangazi, İstanbul, Marmara Bölgesi, 34270, Türkiye"
Başak Konutları,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Organize Sanayi Bölgesi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
4. Levent,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Emniyetevleri Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, 34415, Türkiye"
Esenler,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Yavuz Selim Mahallesi, Esenler, İstanbul, Marmara Bölgesi, Türkiye"
Mühürdar,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
Kocatepe,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Kocatepe Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34045, Türkiye"
Taşköprü,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Barbaros Hayrettin Paşa, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
Etiler,M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Etiler Mahallesi, İstanbul, Marmara Bölgesi, 34337, Türkiye"
Suadiye,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Suadiye Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
Bostancı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Bostancı Mahallesi, İstanbul, Marmara Bölgesi, 34744, Türkiye"
Oruc Reis,M7 Yıldız - Mahmutbey Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Oruçreis Mahallesi, Esenler, İstanbul, Marmara Bölgesi, 34235, Türkiye"
Çırçır,M7 Yıldız - Mahmutbey Metro Hattı,Mevcut Hattaki İstasyon,Metro,Ulaşım Planlama Müdürlüğü,"Çırçır Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
Mustafa Kemal,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Kanarya Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Sirkeci,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Hocapaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Pazartekke,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Topkapı Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34093, Türkiye"
Kirazlı,M1B Yenikapı - Kirazlı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Kirazlı Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Bayrampaşa,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Topçular Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34055, Türkiye"
Eyüpsultan Teleferik,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Merkez Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 0000, Türkiye"
İTÜ Ayazağa,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Reşitpaşa Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34467, Türkiye"
Yenikapı,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Aksaray Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34096, Türkiye"
Damga Sk.,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
Gayrettepe,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Esentepe Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
Edirnekapı,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Topçular Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34055, Türkiye"
Kabataş,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Ömer Avni Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Kabataş,F1 Taksim - Kabataş Füniküler Hattı,Mevcut Hattaki İstasyon,Füniküler,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Ömer Avni Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Rami,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Rami Yeni Mahalle, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
Ali Fuat Başgil,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Hürriyet Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
Yenibosna,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Ataköy 7-8-9-10. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34156, Türkiye"
Mahmutbey,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Göztepe Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
Aksaray,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Mesihpaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34419, Türkiye"
Uluyol-Bereç,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Merkez Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
Hacı Şükrü,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"50. Yıl Mahallesi, Cebeci Köyü, Sultangazi, İstanbul, Marmara Bölgesi, Türkiye"
Cebeci,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Cebeci Mahallesi, Sultangazi, İstanbul, Marmara Bölgesi, Türkiye"
Üniversite-Laleli,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Mimar Kemalettin Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Yunus,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Yunus Mahallesi, İstanbul, Marmara Bölgesi, 34873, Türkiye"
Pendik,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Yeni Mahalle, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye"
Karadeniz Mah.,M7 Yıldız - Mahmutbey Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Karadeniz Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
Çakmak,M5 Üsküdar - Çekmeköy Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Saray Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34768, Türkiye"
Kağıthane,M7 Yıldız - Mahmutbey Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Merkez Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, 34406, Türkiye"
İçmeler,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Evliya Çelebi Mahallesi, Tuzla, İstanbul, Marmara Bölgesi, 34944, Türkiye"
Mecidiyeköy,M7 Yıldız - Mahmutbey Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Fulya Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34346, Türkiye"
Zeytinburnu,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Kazlıçeşme Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34020, Türkiye"
Bahariye,M9 Bahariye - Olimpiyat Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Mehmet Akif Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Küçükçekmece,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Cennet Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Florya Akvaryum,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Şenlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
Süreyya Plajı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Feyzullah Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Çarşı,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Osmanağa Mahallesi, İstanbul, Marmara Bölgesi, 34714, Türkiye"
Darüşşafaka,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Çamlıtepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Atatürk Oto Sanayi,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Maslak Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
Maltepe,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Zümrütevler Mahallesi, İstanbul, Marmara Bölgesi, 34852, Türkiye"
Kilise,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
Moda İlkokulu,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
Çemberlitaş,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Molla Fenari, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Çapa,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Şehremini Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34104, Türkiye"
Demirkapı,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Topçular Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34055, Türkiye"
Haseki,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Molla Gürani Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Davutpaşa - YTÜ,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Çiftehavuzlar Mahallesi, Esenler, İstanbul, Marmara Bölgesi, Türkiye"
Yenisahra,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Sahrayıcedit Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Taksim,F1 Taksim - Kabataş Füniküler Hattı,Mevcut Hattaki İstasyon,Füniküler,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Gümüşsuyu Mahallesi, İstanbul, Marmara Bölgesi, 34437, Türkiye"
Sultanahmet,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Alemdar Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Vatan,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Topçular Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34055, Türkiye"
Bakırköy,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Osmaniye Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34146, Türkiye"
Hacıosman,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Çamlıtepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Vezneciler - İstanbul Ünv.,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Kalenderhane Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34134, Türkiye"
Yeni Mahalle,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Yenimahalle Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
Bağcılar,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Bağcılar Merkez Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
Mescid-i Selam,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Cebeci Mahallesi, Sultangazi, İstanbul, Marmara Bölgesi, Türkiye"
Haliç,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,
